      0 noerr        1518  1 N
      0 noerr        1517 21      + 24.50398 g  

      0 noerr        1496 22 N     + 24.50398 g  

      0 noerr        1474 22 N     + 24.50398 g  

      1 noerr        1452 22 N     + 24.50398 g  

      1 noerr        1430 22 N     + 24.50398 g  

      2 noerr        1408 22 N     + 24.50398 g  

      2 noerr        1386 22 N     + 24.50398 g  

      2 noerr        1364 22 N     + 24.50398 g  

      2 noerr        1342 22 N     + 24.50398 g  

      3 noerr        1320 22 N     + 24.50398 g  

      3 noerr        1298 22 N     + 24.50398 g  

      3 noerr        1276 22 N     + 24.50398 g  

      3 noerr        1254 22 N     + 24.50398 g  

      3 noerr        1232 22 N     + 24.50398 g  

      3 noerr        1210 22 N     + 24.50398 g  

      4 noerr        1188 22 N     + 24.50398 g  

      4 noerr        1166 22 N     + 24.50398 g  

      4 noerr        1144 22 N     + 24.50398 g  

      4 noerr        1122 22 N     + 24.50398 g  

      4 noerr        1100 22 N     + 24.50398 g  

      4 noerr        1078 22 N     + 24.50398 g  

      5 noerr        1056 22 N     + 24.50398 g  

      5 noerr        1034 22 N     + 24.50398 g  

      5 noerr        1012 22 N     + 24.50398 g  

      5 noerr        990 22 N     + 24.50398 g  

      5 noerr        968 22 N     + 24.50398 g  

      5 noerr        946 22 N     + 24.50398 g  

      5 noerr        924 22 N     + 24.50398 g  

      6 noerr        902 22 N     + 24.50398 g  

      6 noerr        880 22 N     + 24.50398 g  

      6 noerr        858 22 N     + 24.50398 g  

      6 noerr        836 22 N     + 24.50398 g  

      6 noerr        814 22 N     + 24.50398 g  

      6 noerr        792 22 N     + 24.50398 g  

      7 noerr        770 22 N     + 24.50398 g  

      7 noerr        748 22 N     + 24.50398 g  

      7 noerr        726 22 N     + 24.50398 g  

      7 noerr        704 22 N     + 24.50398 g  

      7 noerr        682 22 N     + 24.50398 g  

      7 noerr        660 22 N     + 24.50398 g  

      7 noerr        638 22 N     + 24.50398 g  

      7 noerr        616 22 N     + 24.50398 g  

      7 noerr        594 22 N     + 24.50398 g  

      7 noerr        572 22 N     + 24.50398 g  

      7 noerr        550 22 N     + 24.50398 g  

      8 noerr        528 22 N     + 24.50398 g  

      8 noerr        506 22 N     + 24.50398 g  

      8 noerr        484 22 N     + 24.50398 g  

      8 noerr        462 22 N     + 24.50398 g  

      8 noerr        440 22 N     + 24.50398 g  

      8 noerr        418 22 N     + 24.50398 g  

      8 noerr        396 22 N     + 24.50398 g  

      8 noerr        374 22 N     + 24.50398 g  

      8 noerr        352 22 N     + 24.50398 g  

      8 noerr        330 22 N     + 24.50398 g  

      9 noerr        308 22 N     + 24.50398 g  

      9 noerr        286 22 N     + 24.50398 g  

      9 noerr        264 22 N     + 24.50398 g  

      9 noerr        242 22 N     + 24.50398 g  

      9 noerr        220 22 N     + 24.50398 g  

      9 noerr        198 22 N     + 24.50398 g  

      9 noerr        176 22 N     + 24.50398 g  

      9 noerr        154 22 N     + 24.50398 g  

      9 noerr        132 22 N     + 24.50398 g  

      9 noerr        110 22 N     + 24.50398 g  

     10 noerr        88 22 N     + 24.50398 g  

     10 noerr        66 22 N     + 24.50398 g  

     10 noerr        44 22 N     + 24.50398 g  

     10 noerr        22 22 N     + 24.50398 g  

     10 noerr         0 22  
    118 noerr        22 22 N     + 24.50398 g  

    118 noerr         0 22  
    318 noerr        22 22 N     + 24.50398 g  

    318 noerr         0 22  
